ID,Title,CompanyName,Location
c5bf60a845c32b0d,Data Scientist,National Geospatial-Intelligence Agency,"National Geospatial-Intelligence Agency4.1Springfield, VA 22150"
7458427eab02c2ec,Data Analyst,Veho,Veho3.9Remote
436f64999fc34797,DATA ANALYST,University of Washington,"University of Washington4.1Seattle, WA 98195 (University District area)+1 location•Remote"
7ebeab416a7b006d,Big Data Engineer,HP,"HP4.0San Diego, CA 92127 (Rancho Bernardo area)+4 locations"
9e0e52779255bcc1,Backend Developer (Python),Octave Bioscience,"Octave BioscienceMenlo Park, CA 94025"
f84d4861a4473b4b,"data scientist (multiple openings) - Seattle, WA",Starbucks,"Starbucks4.0Seattle, WA•Remote work available"
df6a297b61bbe56a,Software Engineer - Python,CACI,"CACI3.8Charlottesville, VA 22911+39 locations"
3905541e1957ec4a,Associate Solutions Architect – Early Career 2022 (US),"Amazon Web Services, Inc.","Amazon Web Services, Inc.3.5Herndon, VA+126 locations"
813829bb6c109643,Junior Software Engineer,Alloy,"Alloy4.2New York, NY"
6bc84e8e79205b7a,CCF BI Developer,Comcast,"Comcast3.7Philadelphia, PA 19103+2 locations"
e4692123ef997d25,Jr. QA Analyst Trainee,SQA²,"SQA²Los Alamitos, CA"
5f1156a3d4fbdfca,"Part-Time Associate Analyst, TruGuard (100% Remote)",Truveris,"Truveris3.2Wilmington, DE+1 location•Remote"
f26b8209c93fdd28,PYTHON DEVELOPER,OC10,"OC10Charlotte, NC 28202 (Downtown Charlotte area)"
9ac15239f6868a1b,Hydrogen Systems Engineer,First Mode,"First ModeSeattle, WA 98104+2 locations•Remote work available"
f06e63617a62ddd1,Junior Software Developer,Leidos,"Leidos3.7Fairmont, WV 26554+7 locations•Remote"
63df3cb50f2955eb,Sr. Backend Engineer - Python,Espressive,EspressiveCalifornia•Remote
9658502c8ac4e045,"Bitcoin Engineer, Spiral",Block,"Block3.9San Francisco, CA•Remote"
74b05f19acdac39d,Data Engineer,Group14 Technologies,"Group14 TechnologiesWoodinville, WA 98072"
dae6ede25421deaa,Quantitative Data Analyst,Polaris7,"Polaris7Chicago, IL 60614 (Park West area)"
d3e322a67c949824,Machine Learning Engineer,WALGREENS,"WALGREENS3.5Chicago, IL 60607 (West Loop Gate area)+2 locations"
d8fc2a4b003cb5e7,Junior Accountant,Uphold,"Uphold3.8New York, NY 10036"
80a0b21ab4ffe670,Storage Integrity & Risk Engineer (General Engineer I),Consumers Energy,Consumers Energy3.8Michigan+1 location
f3b0d00302707830,Software Developer (Junior),ITA International,"ITA International4.0Eglin AFB, FL 32542+1 location"
ab9f32baa41fc3ad,Associate Data Scientist,Gap Inc.,"Gap Inc.3.7San Francisco, CA 94105 (Financial District area)+2 locations"
4c288266d296de12,Entry Level Python Developer,NR Consulting LLC,"NR Consulting LLCMountain View, CA"
a9304d4666a8d06b,Data Scientist II,Inland Empire Health Plans,"Inland Empire Health Plans3.6Rancho Cucamonga, CA 91730"
995b942e7b4f8aa7,Python Developer,Knight Capital Funding,"Knight Capital Funding5.0Fort Lauderdale, FL 33301 (Colee Hammock area)•Remote"
47899c33654a24ed,"Senior Software Engineer, Back End",Capital One - US,"Capital One - US3.9Cambridge, MA 02142 (Kendall Square area)+28 locations"
9baab54593d85f1b,Senior Software Engineer (Remote or Onsite),Comcast,"Comcast3.7Philadelphia, PA 19103+6 locations"
afd26d98ba52ad14,Senior Python Developer,Ollanna,"OllannaSan Francisco, CA•Remote"
5469db254fd6d72c,Software Engineer 1,Woodard & Curran,"Woodard & Curran3.1Sacramento, CA 95815 (Point West area)"
67008ecde32d356f,Python Developer,Indus Group,Indus GroupUnited States
7ee6e4997258f140,Junior Data Scientist,PIÑATA SCIENCES,"PIÑATA SCIENCESBoston, MA"
3f05b16f42d861ef,Entry Level Machine Learning Engineer,Toyota Connected North America,"Toyota Connected North AmericaPlano, TX+2 locations•Remote work available"
1c5d462389b3e2a5,Backend Developer,Scorp,"ScorpSan Francisco, CA"
48b5a73a2ee2ad24,"People Research Scientist - Mountain View, CA",TikTok,"TikTok3.6Mountain View, CA 94041 (Old Mountain View area)+13 locations"
7120a21252be41d8,Backend Developer,Tiqets,"TiqetsRome, OR"
c9c1fc60422ed8ef,DevOps Engineer Apprenticeship,Fetch Rewards,"Fetch Rewards3.4Chicago, IL"
6099fca6314e88f2,Python Engineer/Developer (Remote),"Impact Recruiting, LLC","Impact Recruiting, LLCForest Grove, OR 97116•Remote"
3a28b38895740659,Security Engineer,Cobalt Robotics,"Cobalt RoboticsFremont, CA+1 location"
a708dc58823ee282,Splunk Admin,VSB Tech Consulting Services,"VSB Tech Consulting ServicesNewark, NJ"
33fe1470549f2df4,Senior Analyst,Nike,"Nike4.1Beaverton, OR"
cd221c455317a93e,Data Scientist - Apple Maps,Apple,"Apple4.2Seattle, WA+41 locations"
23dd7a7bbb0a5b22,Market Analyst,Intel,"Intel4.1Hillsboro, OR 97124"
a258d567a1ce96a3,Programmer Analyst 1,Yale University,"Yale University4.2New Haven, CT 06519 (Hill area)"
092cd812979f4956,Applied Scientist,Amazon.com Services LLC,"Amazon.com Services LLC3.5North Reading, MA 01864+126 locations"
0bd157c9cfacfcf3,Software Engineer - Data Stream (Early Career) - 21696,Splunk,"Splunk4.2San Jose, CA 95131 (North Valley area)+5 locations"
8e62706974971556,Backend Developer,Boston Children's Hospital,"Boston Children's Hospital4.1Boston, MA"
935378e59814d545,10085 – ISP Firmware Algorithm Engineer,GEO Semiconductor,"GEO Semiconductor3.6San Jose, CA 95110 (North San Jose area)"
487b30db63184515,Penetration Testing Trainee,BreachLock,BreachLockFlorida•Remote
52bc9d4d527d0631,"Data Scientist, Marketing Analytics",Tinder,Tinder4.6Remote
57dcfbabdf2118dc,Data Engineer IT,JetBlue Airways Corporation,"JetBlue Airways Corporation4.1Long Island City, NY 11101"
bc4c77e8773657cb,Senior Data Analyst - Finance Data Analytics - Remote,Next Generation Recruitment and Staffing Agency,"Next Generation Recruitment and Staffing AgencyAtlanta, GA 30309 (Midtown area)•Remote"
eea452648c2ff9a1,Techncial Artist,Aspyr,"AspyrAustin, TX 78746"
d683083ef3f9cf8b,Data Analyst,Honk,HonkRemote
2e1fe4a78a1c0dca,Software Engineer Apprentice,IBM,"IBM3.9Research Triangle Park, NC 27709+17 locations"
